canonical_key	extraction_layer	book	chapter_start	verse_start	chapter_end	verse_end	speaker	source_authority	authority_level	command_form	command_summary	theological_domain	social_domain	action_domain	ethical_intensity	command_status	related_key	derivation_confidence
gen_01_28_01	STRICT	Genesis	1	28	1	28	God	divine	1	imperative	Be fruitful and multiply	covenant	national	governance	3	active		100
gen_01_28_02	STRICT	Genesis	1	28	1	28	God	divine	1	imperative	Fill the earth and subdue it	covenant	national	governance	3	active	gen_01_28_01	100
gen_01_28_03	STRICT	Genesis	1	28	1	28	God	divine	1	imperative	Rule over creatures	covenant	national	governance	3	active	gen_01_28_01	100
gen_02_15_01	STRICT	Genesis	2	15	2	15	God	divine	1	imperative	Tend and keep the garden	covenant	individual	construction	3	active		100
gen_02_16_01	STRICT	Genesis	2	16	2	17	God	divine	1	permissive	Eat freely from all trees	covenant	individual	moral_behavior	2	active		100
gen_02_17_01	STRICT	Genesis	2	17	2	17	God	divine	1	prohibition	Do not eat from tree of knowledge	covenant	individual	moral_behavior	5	active	gen_02_16_01	100
gen_03_14_01	THEMATIC	Genesis	3	14	3	14	God	divine	1	declarative	Serpent is cursed	judgment	national	judicial	5	active		100
gen_03_16_01	THEMATIC	Genesis	3	16	3	16	God	divine	1	declarative	Sorrow in childbirth and relational hierarchy established	judgment	family	communication	5	active		100
gen_03_17_01	THEMATIC	Genesis	3	17	3	19	God	divine	1	declarative	Ground is cursed; labor becomes painful	judgment	national	economic_behavior	5	active		100
gen_04_07_01	STRICT	Genesis	4	7	4	7	God	divine	1	conditional	Sin is crouching but you must rule over it	ethics	individual	moral_behavior	4	active		100
gen_04_15_01	STRICT	Genesis	4	15	4	15	God	divine	1	declarative	Mark of protection given	judgment	individual	judicial	4	active		100
gen_06_14_01	STRICT	Genesis	6	14	6	14	God	divine	1	imperative	Build ark with rooms	covenant	family	construction	3	active		100
gen_06_15_01	STRICT	Genesis	6	15	6	16	God	divine	1	imperative	Ark dimensions specified	covenant	family	construction	3	active	gen_06_14_01	100
gen_06_19_01	STRICT	Genesis	6	19	6	21	God	divine	1	imperative	Bring animals into ark	covenant	family	governance	3	active		100
gen_07_01_01	STRICT	Genesis	7	1	7	1	God	divine	1	imperative	Enter ark	covenant	family	migration	4	active	gen_06_14_01	100
gen_07_02_01	STRICT	Genesis	7	2	7	3	God	divine	1	imperative	Take clean animals by sevens	covenant	family	ritual_behavior	4	active	gen_06_14_01	100
gen_08_16_01	STRICT	Genesis	8	16	8	17	God	divine	1	imperative	Exit ark	covenant	family	migration	3	active		100
gen_09_04_01	STRICT	Genesis	9	4	9	4	God	divine	1	prohibition	Do not eat blood	covenant	national	moral_behavior	4	active		100
gen_09_05_01	STRICT	Genesis	9	5	9	6	God	divine	1	declarative	Blood accountability established	covenant	national	judicial	5	active	gen_09_04_01	100
gen_12_01_01	STRICT	Genesis	12	1	12	1	God	divine	1	imperative	Leave your country	covenant	individual	migration	4	active		100
gen_12_02_01	STRICT	Genesis	12	2	12	2	God	divine	1	imperative	Be a blessing	covenant	individual	moral_behavior	4	active	gen_12_01_01	100
gen_17_10_01	STRICT	Genesis	17	10	17	10	God	divine	1	imperative	Circumcise every male	covenant	family	ritual_behavior	5	active	gen_17_09_01	100
gen_19_17_01	STRICT	Genesis	19	17	19	17	Angels	angelic	2	imperative	Flee and do not look back	judgment	individual	migration	5	active		100
gen_21_12_01	STRICT	Genesis	21	12	21	12	God	divine	1	imperative	Listen to Sarah regarding Isaac	covenant	family	communication	4	active		100
gen_26_02_01	STRICT	Genesis	26	2	26	3	God	divine	1	imperative	Do not go to Egypt	covenant	individual	migration	4	active		100
gen_31_03_01	STRICT	Genesis	31	3	31	3	God	divine	1	imperative	Return to your country	covenant	family	migration	4	active		100
gen_35_01_01	STRICT	Genesis	35	1	35	1	God	divine	1	imperative	Go to Bethel and build altar	covenant	family	ritual_behavior	4	active		100
gen_35_02_01	STRICT	Genesis	35	2	35	2	Jacob	human	4	imperative	Put away foreign gods	ethics	family	moral_behavior	4	active		100
gen_46_03_01	STRICT	Genesis	46	3	46	3	God	divine	1	imperative	Go down to Egypt	covenant	family	migration	4	active		100
gen_50_20_01	THEMATIC	Genesis	50	20	50	20	Joseph	human	4	declarative	God intended good from evil acts	providence	family	moral_behavior	5	active		100
exo_13_02_01	STRICT	Exodus	13	2	13	2	God	divine	1	imperative	Consecrate every firstborn	covenant	family	ritual_behavior	4	active		100
exo_13_03_01	THEMATIC	Exodus	13	3	13	3	Moses	prophetic	3	declarative	Remember deliverance from Egypt	covenant	national	communication	3	active	exo_13_02_01	75
exo_13_06_01	STRICT	Exodus	13	6	13	7	Moses	prophetic	3	imperative	Keep Feast of Unleavened Bread	covenant	national	ritual_behavior	4	active	exo_13_03_01	100
exo_13_08_01	STRICT	Exodus	13	8	13	9	Moses	prophetic	3	imperative	Tell children about deliverance	covenant	family	communication	3	active	exo_13_03_01	100
exo_13_17_01	STRICT	Exodus	13	17	13	18	God	divine	1	imperative	Take wilderness route, not Philistine way	covenant	national	migration	4	active		100
exo_14_13_01	STRICT	Exodus	14	13	14	15	God	divine	1	imperative	Fear not, stand still, go forward	covenant	national	warfare	5	active		100
exo_14_16_01	STRICT	Exodus	14	16	14	16	God	divine	1	imperative	Stretch out rod over sea	covenant	individual	governance	5	active	exo_14_13_01	100
exo_15_25_01	STRICT	Exodus	15	25	15	25	God	divine	1	imperative	Make bitter waters sweet	covenant	individual	governance	4	active		100
exo_16_04_01	STRICT	Exodus	16	4	16	5	God	divine	1	imperative	Gather manna daily	covenant	national	economic_behavior	4	active		100
exo_16_23_01	STRICT	Exodus	16	23	16	30	God	divine	1	imperative	Rest on Sabbath, gather double before	covenant	national	ritual_behavior	5	active	exo_20_08_01	100
exo_16_32_01	STRICT	Exodus	16	32	16	33	Moses	human	4	imperative	Keep manna as memorial	covenant	national	communication	3	active		100
exo_17_09_01	STRICT	Exodus	17	9	17	9	Moses	human	4	imperative	Choose men and fight Amalek	covenant	national	warfare	5	active		100
exo_17_10_01	STRICT	Exodus	17	10	17	11	God	divine	1	imperative	Hold up rod during battle	covenant	individual	governance	5	active	exo_17_09_01	100
exo_18_19_01	STRICT	Exodus	18	19	18	22	Jethro	human	4	imperative	Delegate judges and establish justice system	law	national	judicial	4	active		100
exo_19_10_01	STRICT	Exodus	19	10	19	11	God	divine	1	imperative	Sanctify yourselves before Sinai	covenant	national	ritual_behavior	5	active		100
exo_19_12_01	STRICT	Exodus	19	12	19	13	God	divine	1	prohibition	Do not touch the mountain boundary	covenant	national	judicial	5	active		100
exo_20_03_01	STRICT	Exodus	20	3	20	6	God	divine	1	prohibition	No other gods or idols	covenant	national	judicial	5	active		100
exo_20_07_01	STRICT	Exodus	20	7	20	7	God	divine	1	prohibition	Do not misuse God's name	covenant	national	judicial	5	active		100
exo_20_08_01	STRICT	Exodus	20	8	20	11	God	divine	1	imperative	Remember Sabbath and keep it holy	covenant	national	ritual_behavior	5	active		100
exo_20_12_01	STRICT	Exodus	20	12	20	12	God	divine	1	imperative	Honor parents	covenant	family	moral_behavior	5	active		100
exo_20_13_01	STRICT	Exodus	20	13	20	17	God	divine	1	prohibition	Do not kill, steal, commit adultery, covet	covenant	national	moral_behavior	5	active		100
exo_24_03_01	STRICT	Exodus	24	3	24	7	Moses	prophetic	3	imperative	Obey all covenant words	covenant	national	moral_behavior	5	active		100
exo_25_08_01	STRICT	Exodus	25	8	25	9	God	divine	1	imperative	Build sanctuary	covenant	priesthood	construction	5	active		100
exo_25_10_01	STRICT	Exodus	25	10	25	22	God	divine	1	imperative	Make ark and mercy seat	covenant	priesthood	construction	5	active	exo_25_08_01	100
exo_27_20_01	STRICT	Exodus	27	20	27	21	God	divine	1	imperative	Provide oil for lamp	covenant	priesthood	ritual_behavior	4	active		100
exo_28_01_01	STRICT	Exodus	28	1	28	43	God	divine	1	imperative	Establish priesthood garments	covenant	priesthood	ritual_behavior	5	active		100
exo_29_01_01	STRICT	Exodus	29	1	29	42	God	divine	1	imperative	Consecrate priests and daily sacrifices	covenant	priesthood	ritual_behavior	5	active	exo_28_01_01	100
exo_30_11_01	STRICT	Exodus	30	11	30	16	God	divine	1	imperative	Give census ransom offering	covenant	national	economic_behavior	4	active		100
exo_30_22_01	STRICT	Exodus	30	22	30	38	God	divine	1	imperative	Make holy oil and incense	covenant	priesthood	ritual_behavior	4	active		100
exo_30_32_01	STRICT	Exodus	30	32	30	38	God	divine	1	prohibition	Do not replicate holy oil	covenant	priesthood	ritual_behavior	5	active	exo_30_22_01	100
exo_31_12_01	STRICT	Exodus	31	12	31	17	God	divine	1	prohibition	Keep Sabbath as covenant sign	covenant	national	ritual_behavior	5	active	exo_20_08_01	100
exo_33_05_01	STRICT	Exodus	33	5	33	6	God	divine	1	imperative	Remove ornaments and repent	covenant	national	ritual_behavior	5	active		100
exo_34_01_01	STRICT	Exodus	34	1	34	4	God	divine	1	imperative	Make new tablets and ascend Sinai	covenant	individual	construction	5	active		100
exo_35_04_01	STRICT	Exodus	35	4	35	29	Moses	prophetic	3	imperative	Bring offerings for tabernacle	covenant	national	ritual_behavior	4	active		100
exo_36_01_01	STRICT	Exodus	36	1	36	38	God	divine	1	imperative	Build tabernacle by skilled workers	covenant	priesthood	construction	4	active		100
exo_40_01_01	STRICT	Exodus	40	1	40	33	God	divine	1	imperative	Set up and consecrate tabernacle	covenant	priesthood	construction	5	active	exo_36_01_01	100
exo_40_34_01	STRICT	Exodus	40	34	40	38	God	divine	1	imperative	Follow cloud for movement	covenant	national	migration	4	active		100
lev_01_02_01	STRICT	Leviticus	1	2	1	4	God	divine	1	imperative	Bring unblemished burnt offerings to tent	covenant	individual	ritual_behavior	5	active		100
lev_01_05_01	STRICT	Leviticus	1	5	1	9	God	divine	1	imperative	Perform burnt offering ritual fully	covenant	priesthood	ritual_behavior	5	active	lev_01_02_01	100
lev_02_01_01	STRICT	Leviticus	2	1	2	2	God	divine	1	imperative	Bring grain offering of flour, oil, frankincense	covenant	individual	ritual_behavior	4	active		100
lev_02_11_01	STRICT	Leviticus	2	11	2	13	God	divine	1	prohibition	Do not use leaven or honey in offerings	covenant	individual	ritual_behavior	5	active	lev_02_01_01	100
lev_02_02_01	STRICT	Leviticus	2	2	2	3	God	divine	1	imperative	Priests burn memorial portion of grain offering	covenant	priesthood	ritual_behavior	4	active	lev_02_01_01	100
lev_03_01_01	STRICT	Leviticus	3	1	3	6	God	divine	1	imperative	Bring peace offerings from herd or flock	covenant	individual	ritual_behavior	4	active		100
lev_03_17_01	STRICT	Leviticus	3	17	7	27	God	divine	1	prohibition	Do not eat fat or blood	covenant	priesthood	ritual_behavior	5	active		100
lev_04_02_01	STRICT	Leviticus	4	2	4	3	God	divine	1	imperative	Bring sin offering for unintentional sin	covenant	individual	ritual_behavior	5	active		100
lev_05_05_01	STRICT	Leviticus	5	5	5	6	God	divine	1	imperative	Confess sin and bring restitution offering	covenant	individual	judicial	5	active		100
lev_06_09_01	STRICT	Leviticus	6	9	6	13	God	divine	1	imperative	Keep altar fire burning continually	covenant	priesthood	ritual_behavior	5	active		100
lev_07_01_01	STRICT	Leviticus	7	1	7	38	God	divine	1	imperative	Follow all sacrifice regulations precisely	covenant	priesthood	ritual_behavior	5	active	lev_06_09_01	100
lev_08_06_01	STRICT	Leviticus	8	6	8	30	God	divine	1	imperative	Ordain Aaron and sons through washing and anointing	covenant	priesthood	ritual_behavior	5	active		100
lev_09_07_01	STRICT	Leviticus	9	7	9	7	God	divine	1	imperative	Aaron begin priestly ministry	covenant	priesthood	ritual_behavior	5	active	lev_08_06_01	100
lev_10_03_01	STRICT	Leviticus	10	3	10	3	God	divine	1	declarative	God is holy; priests must not profane him	covenant	priesthood	judicial	5	active		100
lev_10_08_01	STRICT	Leviticus	10	8	10	9	God	divine	1	prohibition	Do not drink wine before entering tabernacle	covenant	priesthood	ritual_behavior	5	active	lev_10_03_01	100
lev_11_01_01	STRICT	Leviticus	11	1	11	47	God	divine	1	prohibition	Do not eat unclean animals	covenant	individual	ritual_behavior	5	active		100
lev_11_08_01	STRICT	Leviticus	11	8	11	28	God	divine	1	prohibition	Do not touch carcasses that defile	covenant	individual	ritual_behavior	4	active	lev_11_01_01	100
lev_12_01_01	STRICT	Leviticus	12	1	12	8	God	divine	1	imperative	Observe purification after childbirth	covenant	family	ritual_behavior	4	active		100
lev_13_01_01	STRICT	Leviticus	13	1	13	46	God	divine	1	imperative	Priests examine skin disease and isolate	covenant	priesthood	judicial	5	active		100
lev_14_01_01	STRICT	Leviticus	14	1	14	32	God	divine	1	imperative	Cleansing ritual for healed skin disease	covenant	priesthood	ritual_behavior	5	active	lev_13_01_01	100
lev_15_01_01	STRICT	Leviticus	15	1	15	33	God	divine	1	imperative	Follow purity laws for bodily discharges	covenant	individual	ritual_behavior	4	active		100
lev_16_02_01	STRICT	Leviticus	16	2	16	19	God	divine	1	imperative	High priest enters Holy of Holies once yearly	covenant	priesthood	ritual_behavior	5	active		100
lev_16_20_01	STRICT	Leviticus	16	20	16	22	God	divine	1	imperative	Lay sins on scapegoat and send away	covenant	priesthood	ritual_behavior	5	active	lev_16_02_01	100
lev_16_29_01	STRICT	Leviticus	16	29	16	31	God	divine	1	imperative	Afflict souls on Day of Atonement	covenant	national	ritual_behavior	5	active	lev_16_02_01	100
lev_17_03_01	STRICT	Leviticus	17	3	17	12	God	divine	1	prohibition	Do not sacrifice outside tabernacle or eat blood	covenant	national	ritual_behavior	5	active		100
lev_18_03_01	STRICT	Leviticus	18	3	18	30	God	divine	1	prohibition	Do not follow pagan sexual practices	covenant	national	moral_behavior	5	active		100
lev_19_02_01	STRICT	Leviticus	19	2	19	2	God	divine	1	imperative	Be holy as I am holy	covenant	national	moral_behavior	5	active		100
lev_19_09_01	STRICT	Leviticus	19	9	19	11	God	divine	1	imperative	Leave gleanings for the poor	covenant	national	economic_behavior	4	active		100
lev_19_18_01	STRICT	Leviticus	19	18	19	18	God	divine	1	imperative	Love your neighbor as yourself	covenant	national	moral_behavior	5	active		100
lev_19_35_01	STRICT	Leviticus	19	35	19	36	God	divine	1	imperative	Use honest weights and measures	covenant	national	economic_behavior	5	active		100
lev_20_02_01	STRICT	Leviticus	20	2	20	8	God	divine	1	prohibition	Do not sacrifice children to Molech	covenant	national	moral_behavior	5	active		100
lev_21_01_01	STRICT	Leviticus	21	1	21	7	God	divine	1	prohibition	Priests must maintain ritual purity	covenant	priesthood	ritual_behavior	5	active		100
lev_22_02_01	STRICT	Leviticus	22	2	22	3	God	divine	1	prohibition	Priests must not approach holy things unclean	worship	priesthood	ritual_behavior	5	active	lev_21_01_01	100
lev_23_02_01	STRICT	Leviticus	23	2	23	3	God	divine	1	imperative	Keep appointed feasts and Sabbath	worship	national	ritual_behavior	4	active		100
lev_23_05_01	STRICT	Leviticus	23	5	23	8	God	divine	1	imperative	Keep Passover and Unleavened Bread	worship	national	ritual_behavior	4	active	lev_23_02_01	100
lev_23_27_01	STRICT	Leviticus	23	27	23	32	God	divine	1	imperative	Keep Day of Atonement	worship	national	ritual_behavior	5	active	lev_16_29_01	100
lev_23_34_01	STRICT	Leviticus	23	34	23	43	God	divine	1	imperative	Keep Feast of Tabernacles	worship	national	ritual_behavior	4	active	lev_23_02_01	100
lev_24_02_01	STRICT	Leviticus	24	2	24	9	God	divine	1	imperative	Keep lamps burning and showbread set	worship	priesthood	ritual_behavior	4	active		100
lev_24_16_01	STRICT	Leviticus	24	16	24	16	God	divine	1	prohibition	Do not blaspheme the Name	ethics	national	judicial	5	active		100
